"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"0610043K17Rik",0.641141141141141,0.642857142857142,998.999999999999,933.211049861417,805.544014310915,0.0433734939759036,111,1.29369944238496,1.38354708432455,1.32833126636533
"1110059E24Rik",0.433076923076923,0.442953020846557,998.999999999999,952.436068405503,855.582012788477,0.0512908777969019,130,1.47151798033838,1.4017831745677,1.44627281725859
"1500002F19Rik",0.65,0.638888888888823,998.999999999999,801.43750816431,462.569870296303,0.0247848537005164,60,1.56913734111697,1.23490744572092,1.37695327673726
"1500004A13Rik",0.390873015873016,0.388663967611336,998.999999999999,951.149676269918,852.233850206769,0.085025817555938,210,1.44222385124836,1.42349695034089,1.43741922217883
"1600010M07Rik",0.513888888888889,0.511278195488689,998.999999999999,947.570718934562,842.918703837096,0.091566265060241,228,1.42509727890139,1.42483999914595,1.42503552752358
"1600020E01Rik",0.334532374100719,0.345911949709868,998.999999999999,956.053808683949,864.998101627611,0.0547332185886403,139,1.45366030045334,1.40938315820165,1.43839732448885
"1700025G04Rik",0.496860961365678,0.496587030731469,998.999999999999,903.269503119716,727.613526657991,0.201721170395869,424,1.52425284020436,1.5073746785423,1.52179110872422
"2210408F21Rik",0.487140992167102,0.483302411882313,998.999999999999,702.133793189432,204.106705366987,0.371084337349398,766,1.53211859687567,1.567471737081,1.5351245283226
"2210408I21Rik",0.616573033707865,0.627376425839874,998.999999999999,948.133561808679,844.383645512635,0.0905335628227194,178,1.79970342306646,1.42422250868911,1.68241639013428
"2610035D17Rik",0.650713557594292,0.63636363636363,998.999999999999,932.674799736834,804.148287026909,0.162822719449225,327,1.66195953335224,1.48535957407255,1.62860754669427
"2610037D02Rik",0.504712301587302,0.507731958756073,998.999999999999,936.133967465399,813.151650489923,0.133562822719449,336,1.49942662099704,1.46168551783129,1.49269632306501
"2610307P16Rik",0.557807807807808,0.55952380952381,998.999999999999,957.791690430909,869.521380708416,0.0578313253012048,111,1.55553578408583,1.41562324379821,1.49890975615791
"2700049A03Rik",0.646723646723647,0.643410852713176,998.999999999999,936.86890652395,815.064516238716,0.0444061962134251,117,1.36848798615732,1.38541722625402,1.374912689611
"2700097O09Rik",0.622047244094488,0.637681159420284,998.999999999999,945.5626298625,837.692141495937,0.0475043029259897,127,1.41565676978095,1.39185982157692,1.40700020672193
"2900026A02Rik",0.464912280701754,0.460937500003488,998.999999999999,935.695668960934,812.010867200229,0.0440619621342513,114,1.37931137811369,1.38478609513189,1.38142805113758
"2900093K20Rik",0.587301587301587,0.586666666666667,998.999999999999,811.944860291227,489.917925567315,0.0258175559380379,63,1.38653998350649,1.24816722211107,1.31093330818442
"3110056K07Rik",0.451830443159923,0.452631578987878,998.999999999999,958.460761147755,871.262807351733,0.0654044750430293,173,1.41464855389895,1.43144509379198,1.41956412627778
"3110082I17Rik",0.516393442622951,0.507352941176408,998.999999999999,943.900191553728,833.365223143551,0.046815834767642,122,1.4322273957927,1.39027132983643,1.41651031734751
"4632427E13Rik",0.505374280230326,0.502340093603744,998.999999999999,883.221141846597,675.432569403696,0.22065404475043,521,1.44573591987029,1.51566762181622,1.45405164351303
"4732440D04Rik",0.311473429951691,0.310231023102325,998.999999999999,896.344341028417,709.589031680955,0.208605851979346,460,1.42504017425279,1.51053025150477,1.4363209068749
"4732471J01Rik",0.367424242424242,0.381578947368469,998.999999999999,953.745318460796,858.989668917561,0.0523235800344234,132,1.46421232181246,1.4042042317717,1.44274567825467
"4833420G17Rik",0.675595238095238,0.655913978493919,998.999999999999,958.58288966314,871.580677862644,0.0640275387263339,168,1.31352398881364,1.42895885861427,1.34713935477437
"4930438E09Rik",0.597849462365591,0.616766467065851,998.999999999999,957.65497022515,869.165531613554,0.057487091222031,155,1.38592043155708,1.41493256626819,1.39505751359288
"4930503L19Rik",0.503164556962025,0.505681818181861,998.999999999999,958.482540045137,871.319492469178,0.0605851979345955,158,1.42830481978641,1.421295337988,1.42610683823374
"4930523C07Rik",0.439416419386746,0.443127962085308,998.999999999999,936.182058909563,813.276820699998,0.14526678141136,337,1.55600192182935,1.47344843140373,1.54114098340492
"4930578G10Rik",0.797585886722377,0.805676855895189,0.691217324156468,311.033460223735,808.420428383963,0.157659208261618,359,1.11412468835054,1.48215779400117,1.16853531144387
"4930599N23Rik",0.508403361344538,0.522727272713922,998.999999999999,940.12640144577,823.542974949426,0.0454388984509466,119,1.48204352030549,1.38738657643142,1.44562576422325
"4933406I18Rik",0.314634146341463,0.308300395256953,998.999999999999,950.02200136671,849.29878957416,0.0870912220309811,205,1.35566017108902,1.42314728443938,1.37288783379096
"5031425E22Rik",0.591091414668057,0.583068782537458,998.999999999999,742.430651494744,308.989524070537,0.325301204819277,685,1.44684889230956,1.55203217301717,1.4565384877346
"5033421B08Rik",0.377551020408163,0.4098360655738,998.999999999999,760.694039049395,356.524633415641,0.0209982788296041,49,1.53587053818229,1.19026604268487,1.31970617284921
"5330438D12Rik",0.481220657276995,0.477366255178516,998.999999999999,951.891884959845,854.165637019428,0.0836488812392427,213,1.51486595889504,1.42427846546097,1.49145072656204
"5430405H02Rik",0.431818181818182,0.425675675675676,998.999999999999,951.951471132928,854.320725183904,0.0509466437177281,132,1.50616989953309,1.4009388465841,1.46815623851689
"6030458C11Rik",0.373333333333333,0.36809815985942,998.999999999999,956.974568966463,867.394614354452,0.0561101549053356,150,1.29883147416099,1.41217563241545,1.3345579089357
"6720427I07Rik",0.543243243243243,0.539999999800343,998.999999999999,957.913579176793,869.838627158244,0.0688468158347676,185,1.39839661227144,1.43507855535289,1.40857767442143
"6820431F20Rik",0.725529100529101,0.722021660649803,998.999999999999,945.545779377103,837.648283823669,0.0953528399311532,252,1.16492282960245,1.42780445875497,1.21880796794472
"9330159M07Rik",0.231404958677686,0.228571428572377,998.999999999999,947.086536529578,841.658496030905,0.0481927710843374,121,1.18994332772165,1.39356406609374,1.26217110797727
"9330162G02Rik",0.348837209302326,0.316326530612289,998.999999999999,880.50406633936,668.360689614205,0.0337349397590361,86,1.44303616432222,1.34554896508133,1.39776515182549
"9330188P03Rik",0.46875,0.529411764705882,998.999999999999,722.215539569022,256.374555848612,0.0175559380378657,32,2.06582622252034,1.13365799544927,1.36354752721296
"9530026P05Rik",0.45338024691358,0.448660714462016,3.67054880532518,7.22388616128897,12.8373585073286,0.771084337349398,1125,1.77819012046295,1.64913659713553,1.77014963004327
